Caption:,Qualitative analysis of the video recorded related to Deep reinforcement learning controller in the complete actuation scenario. All the recordings of the throws are reported in the supplementary material. We have considered the following four states of the object: (E) enter; (BI) bounced-in; (BO) bounced-out; (O) out.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Deep reinforcement learning controller - complete actuation scenario,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Target,Tossed object,,,,,,,,,,,,,,,,
,PingPong,,,Lemon,,,Marker,,,Tomato,,,,,,,
A,O,O,O,O,O,O,O,O,O,O,O,O,,,,,
B,BO,BO,O,BO,BO,BO,E,E,E,E,E,E,,,,,
C,O,O,O,O,E,O,BI,E,E,BI,BI,BI,,,,,
D,E,E,E,E,E,E,O,O,O,BI,BO,BI,,,,,
E,E,E,E,BI,BI,E,BI,BI,BI,BO,BO,BO,,,,,
F,BO,BO,BI,BO,BI,BI,BO,BO,O,BO,BI,BO,,,,,
G,E,E,E,E,E,E,E,E,E,E,E,E,,,,,
H,BO,BO,BO,E,E,E,E,E,E,E,E,E,,,,,
I,BO,BI,BI,E,E,E,O,O,E,E,E,E,,,,,
L,E,E,E,E,E,E,E,BI,BO,BO,BI,BI,,,,,
SE,12,,,17,,,13,,,12,,,,,,,
SBI,3,,,4,,,5,,,8,,,,,,,
SBO,8,,,4,,,3,,,7,,,,,,,
SO,7,,,5,,,9,,,3,,,,,,,
,,,,,,,,,,,,,,,,,
