Caption:,"Quantitative analysis of the trajectories recorded related to Optimization-based controller in the complete actuation scenario. Thanks to the VICON system we recorded the trajectories of the object in the different trials. Each value represents the average of the distances, in millimeters, from the center of the box selected as a target, in the three trials performed.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Non-real-time controller,,,,,,,,,,,,,,,,,
complete actuation scenario,,,,,,,,,,,,,,,,,
Target,Tossed object,,,,,,,,,,,,,,,,
,PingPong,Lemon,Marker,Tomato,,,,,,,,,,,,,
A,80.99,46.31,45.73,39.92,,,,,,,,,,,,,
B,66.24,51.37,29.97,32.76,,,,,,,,,,,,,
C,44.02,48.15,36.34,95.66,,,,,,,,,,,,,
D,130.04,75.59,76.10,58.40,,,,,,,,,,,,,
E,52.81,38.74,38.80,43.79,,,,,,,,,,,,,
F,111.80,135.28,119.18,147.09,,,,,,,,,,,,,
G,62.93,55.88,42.64,74.09,,,,,,,,,,,,,
H,24.15,85.46,49.70,52.46,,,,,,,,,,,,,
I,81.22,75.70,98.33,93.06,,,,,,,,,,,,,
L,77.15,17.37,38.59,32.76,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
